Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu,BaseScore,x1,x2,x3,x4,x6,x7,x12,Score
1,2,20.0,0,1726.97,1726.97,5,2.0,2,6,1,1,36.0,2200.0,522.0,5.0,-9.0,0.0,-18.0,37.0,8.0,7.0,552.0
1,2,10.0,0,458.99,458.99,3,0.0,4,7,4,1,62.0,3200.0,522.0,5.0,-3.0,0.0,12.0,37.0,-1.0,24.0,596.0
1,8,4.0,1,228.58,1500.0,3,1.0,2,3,1,0,46.0,1600.0,522.0,18.0,9.0,-7.0,13.0,37.0,8.0,7.0,607.0
1,8,4.0,1,496.46,2000.0,1,0.0,2,3,1,0,58.0,1800.0,522.0,18.0,9.0,-7.0,9.0,-0.0,-1.0,24.0,574.0
1,2,5.0,0,279.99,279.99,3,0.0,2,3,0,1,54.0,1600.0,522.0,5.0,-3.0,0.0,13.0,37.0,-1.0,15.0,588.0
1,2,3.0,0,319.99,319.99,3,0.0,2,6,4,0,58.0,3500.0,522.0,5.0,13.0,0.0,12.0,37.0,-1.0,24.0,612.0
1,2,15.0,0,368.99,368.99,6,0.0,4,7,1,0,67.0,1800.0,522.0,5.0,-9.0,0.0,12.0,37.0,-1.0,43.0,609.0
1,2,12.0,0,799.98,799.98,2,1.0,2,3,1,1,40.0,1300.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,8.0,7.0,515.0
1,2,3.0,1,599.99,2000.0,6,0.0,4,7,4,0,78.0,1200.0,522.0,5.0,13.0,-7.0,9.0,37.0,-1.0,43.0,621.0
1,3,4.0,0,389.9,389.9,2,1.0,2,6,0,0,31.0,1500.0,522.0,5.0,9.0,0.0,12.0,-0.0,8.0,-7.0,549.0
1,3,10.0,0,690.0,690.0,2,0.0,4,7,3,1,67.0,1500.0,522.0,5.0,-3.0,0.0,9.0,-0.0,-1.0,43.0,575.0
1,2,3.0,1,499.99,2000.0,3,2.0,2,6,0,0,46.0,1100.0,522.0,5.0,13.0,-7.0,9.0,37.0,8.0,7.0,594.0
1,2,30.0,0,728.98,728.98,3,0.0,4,4,4,0,55.0,1700.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,15.0,578.0
1,2,5.0,0,613.99,613.99,3,0.0,4,7,4,0,72.0,1300.0,522.0,5.0,-3.0,0.0,9.0,37.0,-1.0,43.0,612.0
1,6,20.0,0,1960.14,1960.14,3,0.0,4,7,4,1,75.0,1850.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,43.0,579.0
1,8,4.0,1,295.31,2000.0,4,0.0,2,3,1,0,24.0,1600.0,522.0,18.0,9.0,-7.0,13.0,37.0,-1.0,-25.0,566.0
